,comments,username,starts,times,hasuses,citys,intodoubantimes,leval
149,"['分钟', '拯救', '全片', '颗星', '明明', '一部', '爆米花', '电影', '一桶', '爆米花', '吃', 'high', '介是', '毛', '一群', '爷们', '吵来吵去', '一娘们', '打得', '好看', '中影', '3d', '眼镜', '明明', '墨镜', '银幕', '剧情', '黑', '绿巨人', '贡献', '全场', '大笑', '萌', '秒杀', '全场']",蒜 | BOY A✎,30,2012-05-08 22:21:21,12,四川成都,2006-10-07,一般
150,,david,30,2012-06-19 16:28:21,0,,,一般
151,"['不错', '期待', '续集', '看过', '单独', '看会', '棒']",可可要快乐,40,2012-06-19 14:03:37,0,上海,2010-07-02,好评
152,"['感觉', '影片', '复仇者', '联盟', '雷神', '好看', '粗糙', '剧情', '过度', '太快', '感觉', '太过', '纠结', '剧情', '剧情', '细腻', '富有', '想象力', '人物', '过瘾', '打斗', '场景', '搞笑', '情节', '了不起', '值得', '划时代', '电影']",LEO赫本,50,2012-06-19 15:48:30,0,,,好评
153,"['人物', '太', '眼花缭乱', '坐等', '正义', '联盟', '希望', '精彩']",阿钟来了,30,2012-06-19 16:29:40,0,,,一般
154,"['享受', '一场', '超级', '英雄', '带来', '视觉', '盛宴']",Lie to Me,50,2012-06-17 12:56:16,0,,,好评
155,"['美国', '电影', '一贯', '英雄主义', '集体', '英雄', '电影']",玫瑰没有小王子,40,2012-06-17 13:23:01,0,重庆,2011-10-31,好评
156,,vWei,40,2012-06-17 16:05:47,0,,,好评
157,,Adrian13,30,2012-06-17 20:25:36,0,上海,2007-04-01,一般
158,,Scar,50,2012-06-17 23:01:05,0,,,好评
159,,CeCi,40,2012-06-17 22:34:37,0,北京,2007-05-12,好评
160,,黎明Leon,50,2012-06-17 19:41:19,0,北京,2010-11-30,好评
161,"['精彩', '紧凑', '爆米花', '高科技', '无脑', '大片', '笑点', '一部', '单独', '系列', '英雄传', '讲述', '一群', '心智', '不全', '超能儿', '矫正', '三观', '拯救', '地球', '故事', '爱德华', '来演', '绿巨人', '会极', '理智', '五星']",孙此方,40,2012-05-06 00:44:11,6,,,好评
162,,轻骑漫步,30,2012-06-17 19:58:21,0,,,一般
163,"['美国', '漫画', '英雄', '电影', '大乱', '炖', '之史', '最强']",张小北,40,2012-05-06 01:50:38,16,北京,2008-03-04,好评
164,,Wanda。L,40,2012-06-17 20:52:39,0,北京,2009-08-10,好评
165,"['这是', '一部', '典型', '美国', '英雄主义', '电影', '宣扬', '美国', '人能', '拯救', '真理', '艹']",翔都堵不住你嘴,30,2012-06-17 22:53:12,0,北京,2010-11-13,一般
166,"['美国式', '英雄', '大杂烩', '还好', 'entertaining', '至少', '工作', '10', '满意']",simply me,30,2012-06-17 18:36:28,0,上海,2009-11-16,一般
167,,守愚,50,2012-06-19 22:34:01,0,湖北武汉,2008-12-08,好评
