16,"铺垫五部电影换来复仇者第一次集结，也是史上第一部超级英雄集结电影，当之无愧的现象级作品。
即便是用现在眼光来看《复联1》也是教科书式的群像片，前30分钟实现美队、绿巨人、黑寡妇的集结，第50分钟鹰眼之外的五巨头聚首，铺垫和规划天衣无缝。
同时也加入了许多矛盾和内乱的桥段，比如钢铁侠和雷神、钢铁侠和美队、雷神和绿巨人、复仇者和尼克·弗瑞都产生过分歧，使得剧情更加丰满，也为执行任务增加了难度。
最巧妙的是引出了心灵宝石，洛基用心灵宝石让复仇者内斗，既符合洛基的作风，又确保了复仇者的胜利不会来得太容易。
无论是剧本还是规划都相当完美。
值得一提的是电影开头出现了“天马计划”，和《惊奇队长》形成呼应。
PS：斯坦·李出现在第130分；第一个彩蛋是灭霸；第二个彩蛋是众人一起吃沙瓦玛烤肉。",凌睿,"['allstar50', 'rating']",2012-08-18 01:18:23,24,重庆,lingrui1995  2012-08-07加入
17,不是我的菜...中间差点睡着..,愛絲希雅,"['allstar30', 'rating']",2012-06-17 09:56:07,0,,
18,真心难看。作为DC迷，还是看蝙蝠侠和超人搞基比较有意思,Leon,"['allstar30', 'rating']",2012-06-17 07:36:18,0,,
0,话痨片+走近科学,大宸,"['allstar30', 'rating']",2012-05-06 18:10:02,19,,
1,第一次看到英雄大集合还是很激动的，最喜欢美国队长和黑寡妇。场面还是没得说，非常酷炫，让人眼花缭乱。,世界尽头,"['allstar40', 'rating']",2018-04-25 07:01:31,23,,
2,漫威作品，动作场面和特效都很厉害，一群超级英雄聚在一起使电影十分有趣，我觉得电影还是值得一看的，准备看第三部。,宁宁,"['allstar40', 'rating']",2018-04-24 23:30:00,24,,
3,"虽然作为陪男友看的女友.. 基本只看懂了搞笑瞬间 -,- 老套的经典  02/06/2012",三七二星,"['allstar40', 'rating']",2012-06-13 02:27:47,0,,
4,特效满足了眼球，剧情不脑残足矣,未晓,"['allstar50', 'rating']",2012-06-17 12:26:11,0,,
5,好燃T T 哈哈哈哈好搞笑 去电影院值了-0- 我爱队长,FiTcyXDD,"['allstar50', 'rating']",2012-06-17 08:31:24,0,,
6,英雄大拼盘，全场都是笑点……,油泡塞肉,"['allstar40', 'rating']",2012-06-17 10:14:32,0,,
7,就记得一个字，帅,假装不孤单,"['allstar40', 'rating']",2012-06-17 11:34:22,0,,
8,很酷的电影啊，看得激情四射,ashley°雪,"['allstar50', 'rating']",2012-06-17 12:14:11,0,,
9,说实话特效太赞了！！非常值得去电影院看。,沫沫,"['allstar50', 'rating']",2012-06-17 11:50:11,0,,
10,纯种美国英雄主义科幻片，很商业，很专业，很美式，很英雄，很科幻。,terrance_miu,"['allstar40', 'rating']",2012-06-17 10:32:18,0,,
11,可以养只绿巨人么,Biubiu•~,"['allstar40', 'rating']",2012-06-17 11:10:06,0,福建厦门,cjling  2011-12-24加入
12,"一锅粥。。
",tomshiwo,"['allstar10', 'rating']",2012-05-05 22:07:34,24,北京,tomshiwo  2007-03-02加入
13,钢铁侠太痞了，lol,小桃红,"['allstar30', 'rating']",2012-06-19 12:57:43,0,,
14,一开始看到norton变成了mark ruffalo还是有点失望的，但是平心而论，演的比norton好啊，jeremy现在混得不错了哦,安德烈·皮皮,"['allstar50', 'rating']",2012-09-02 02:33:06,0,上海,yinmouren  2007-04-17加入
15,大片啦！很不错啦！搞基万能啦！,mibii,"['allstar40', 'rating']",2012-06-19 13:46:27,0,,
16,洛基被绿巨人痛扁大概是最精彩的笑点，完全的美国英雄主义电影啊，可惜英雄还少了点,紫馨,"['allstar40', 'rating']",2012-06-19 17:52:38,0,,
17,我喜欢这部电影，因为我看到了每个单独的角色所付出的努力。,东篱,"['allstar40', 'rating']",2018-04-27 09:44:48,18,,
18,就像小时候玩《金庸群侠传》的感觉，杨过萧峰令狐冲韦小宝灭绝师太乱入，大剂量的鸡血high翻天！在它所有的优点里，我最欣赏它无所不在的幽默感。(PS：杰瑞米雷纳射箭太帅了！我要学射箭啊啊啊！！！),萨库拉,"['allstar50', 'rating']",2012-04-27 00:25:02,18,中国香港,iisakura  2009-05-15加入
19,热闹，好看。,High Five,"['allstar40', 'rating']",2012-06-17 16:05:14,0,,
0,总算赶上了下映前最后一场，好看，又萌又雷又二，甩变3好几条银河系了。loki，你的咏哥造型让我快憋出内伤了,Freda,"['allstar40', 'rating']",2012-06-19 13:10:01,0,,
